Effluent Fluroide in mg per L,Experimental W in mg F per g PaCl,Theoretical W in mg F per g PaCl,Difference Between W's in mg F per g PaCl
0.54323,58.2708,66.1166516,7.845851597
0.453680894,70.92638213,56.58702463,14.33935749
0.56565,97.374,68.43078072,28.94321928
0.6,112,71.92271817,40.07728183
0.741139607,85.17720786,85.62472136,0.447513503
0.785,128.6,89.68291628,38.91708372
0.9,168,99.90668759,68.09331241
1.05,158,112.402068,45.59793199
1.117600196,230.5919843,117.7466819,112.8453024
1.573455348,274.1235722,149.799497,124.3240752
3.61,222,240.2554271,18.25542711
6.208,302.6,298.543923,4.056076988
