Effluent concentration F2 (mg/L),W (mg F/g PaCl)
0,0
0.05,7.021416127
0.1,13.82726091
0.15,20.42731197
0.2,26.83076438
0.25,33.04627351
0.3,39.08199398
0.35,44.94561536
0.4,50.64439489
0.45,56.18518744
0.5,61.57447297
0.55,66.81838186
0.6,71.92271817
0.65,76.89298104
0.7,81.73438446
0.75,86.45187553
0.8,91.05015132
0.85,95.53367446
0.9,99.90668759
0.95,104.1732268
1,108.3371338
1.05,112.402068
1.1,116.3715166
1.15,120.2488051
1.2,124.0371061
1.25,127.7394485
1.3,131.3587251
1.35,134.8977003
1.4,138.3590174
1.45,141.7452047
1.5,145.0586822
1.55,148.3017667
1.6,151.476678
1.65,154.5855432
1.7,157.6304021
1.75,160.6132111
1.8,163.535848
1.85,166.4001152
1.9,169.207744
1.95,171.9603981
2,174.6596764
2.05,177.3071165
2.1,179.9041974
2.15,182.4523425
2.2,184.9529221
2.25,187.4072556
2.3,189.8166142
2.35,192.1822229
2.4,194.5052626
2.45,196.7868722
2.5,199.0281501
2.55,201.2301564
2.6,203.3939143
2.65,205.5204117
2.7,207.610603
2.75,209.66541
2.8,211.6857237
2.85,213.6724054
2.9,215.626288
2.95,217.548177
3,219.438852
3.05,221.2990672
3.1,223.1295528
3.15,224.9310159
3.2,226.7041412
3.25,228.4495923
3.3,230.1680119
3.35,231.8600233
3.4,233.5262304
3.45,235.1672192
3.5,236.7835579
3.55,238.3757977
3.6,239.9444736
3.65,241.4901049
3.7,243.0131957
3.75,244.5142354
3.8,245.9936995
3.85,247.45205
3.9,248.8897354
3.95,250.3071921
4,251.7048439
4.05,253.083103
4.1,254.4423703
4.15,255.7830357
4.2,257.1054784
4.25,258.4100674
4.3,259.6971619
4.35,260.9671113
4.4,262.2202561
4.45,263.4569276
4.5,264.6774485
4.55,265.8821331
4.6,267.0712876
4.65,268.2452105
4.7,269.4041925
4.75,270.5485171
4.8,271.6784605
4.85,272.7942921
4.9,273.8962748
4.95,274.9846647
5,276.0597117
5.05,277.1216598
5.1,278.170747
5.15,279.2072053
5.2,280.2312615
5.25,281.2431369
5.3,282.2430476
5.35,283.2312044
5.4,284.2078134
5.45,285.173076
5.5,286.1271886
5.55,287.0703433
5.6,288.0027279
5.65,288.9245258
5.7,289.8359163
5.75,290.7370746
5.8,291.6281721
5.85,292.5093764
5.9,293.3808512
5.95,294.2427569
6,295.0952501
6.05,295.9384843
6.1,296.7726095
6.15,297.5977725
6.2,298.4141168
6.25,299.2217833
6.3,300.0209094
6.35,300.81163
6.4,301.594077
6.45,302.3683795
6.5,303.134664
6.55,303.8930546
6.6,304.6436724
6.65,305.3866364
6.7,306.1220631
6.75,306.8500666
6.8,307.5707587
6.85,308.284249
6.9,308.9906449
6.95,309.6900517
7,310.3825726
7.05,311.0683089
7.1,311.7473597
7.15,312.4198223
7.2,313.0857922
7.25,313.7453629
7.3,314.3986262
7.35,315.0456721
7.4,315.6865891
7.45,316.3214637
7.5,316.9503811
7.55,317.5734246
7.6,318.1906762
7.65,318.8022163
7.7,319.4081238
7.75,320.0084761
7.8,320.6033493
7.85,321.192818
7.9,321.7769557
7.95,322.3558342
8,322.9295243
8.05,323.4980954
8.1,324.0616157
8.15,324.6201523
8.2,325.1737709
8.25,325.7225363
8.3,326.2665119
8.35,326.8057603
8.4,327.3403426
8.45,327.8703194
8.5,328.3957498
8.55,328.916692
8.6,329.4332034
8.65,329.9453402
8.7,330.4531578
8.75,330.9567105
8.8,331.4560519
8.85,331.9512346
8.9,332.4423104
8.95,332.92933
9,333.4123436
9.05,333.8914004
9.1,334.3665488
9.15,334.8378364
9.2,335.3053101
9.25,335.7690161
9.3,336.2289996
9.35,336.6853054
9.4,337.1379773
9.45,337.5870586
9.5,338.0325918
9.55,338.4746189
9.6,338.9131811
9.65,339.3483188
9.7,339.7800722
9.75,340.2084805
9.8,340.6335824
9.85,341.0554161
9.9,341.4740192
9.95,341.8894285
10,342.3016805
10.05,342.7108111
10.1,343.1168556
10.15,343.5198487
10.2,343.9198248
10.25,344.3168175
10.3,344.7108602
10.35,345.1019856
10.4,345.490226
10.45,345.8756132
10.5,346.2581785
10.55,346.6379528
10.6,347.0149665
10.65,347.3892497
10.7,347.7608318
10.75,348.1297421
10.8,348.4960091
10.85,348.8596614
10.9,349.2207266
10.95,349.5792324
11,349.9352059
11.05,350.2886738
11.1,350.6396624
11.15,350.9881978
11.2,351.3343056
11.25,351.678011
11.3,352.019339
