Effluent Fluoride (mg/L),Experimental W (mg F/g PaCl),Theoretical W (mg F/g PaCl),Difference between W's (mg/L)
0.54323,58.2708,66.1166516,7.845851597
0.453680894,70.92638213,56.58702463,14.33935749
0.56565,97.374,68.43078072,28.94321928
0.6,112,71.92271817,40.07728183
0.741139607,85.17720786,85.62472136,0.447513503
0.785,128.6,89.68291628,38.91708372
0.9,168,99.90668759,68.09331241
1.05,158,112.402068,45.59793199
1.117600196,230.5919843,117.7466819,112.8453024
1.573455348,274.1235722,149.799497,124.3240752
3.61,222,240.2554271,18.25542711
6.208,302.6,298.543923,4.056076988
12.88,481,361.7090277,119.2909723
9.6,339.5,338.9131811,0.586818931
4.54,265.4,265.6424483,0.242448258
1.6,106,151.476678,45.47667796
1.117,117.7666667,117.699973,0.066693672
0.741,74.475,85.61165838,11.13665838
1.326,183.85,133.2088439,50.64115608
9.61,339,339.0004813,0.000481286
3.37,198,232.5295694,34.52956944
6.39,288,301.4382432,13.43824322
1.598,106.1,151.3509635,45.25096346
1.1176,117.7466667,117.7466666,2.01E-08
0.741,74.475,85.61165838,11.13665838
1.52,109.2849637,146.3642367,37.07927304
0.49,77.46571357,60.50843732,16.95727625
3.062946848, 71.9472016, n/a, n/a
